ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Lhx5,Notes
1,649.5,153.665,1819.91,r,d,g,r,yes,,,no,no,,,no,
2,611.342,199.708,1920.72,r,d,g,r,yes,,,no,no,,,no,
