X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
71.5775287826373,9.20332573112248
76.43448222777141,-11.931239396587577
68.00927363533988,-25.751399062708387
61.08619418170482,-46.67499684810571
101.98759421780704,-28.310131733041416
81.422755565423,-45.10682834865817
306.81318299137024,124.33589684264685
333.73606578209314,119.922644477437
337.3697229363276,115.72692208097004
270.1903017929427,204.7373910022002
259.5846711187783,185.05994010857708
250.06935533004216,169.07630880513483
263.22497432473943,138.8320131258884
273.48190817220114,148.4421438586598
340.00129963835434,182.7689651451988
357.2674771697844,170.42941223073967
368.0387902528798,155.00364479413605
380.10834864492057,157.45582868280854
374.1157169630413,142.85665977930202
365.99114188749456,129.43850356783483
355.0920396268509,130.20411321737947
399.1755201303769,211.51468695011496
398.15548460199295,206.4192147694784
377.3798078784848,197.28382952939853
360.1524548353282,217.26640777777476
411.86357706456965,226.69649885254796
418.123833070301,194.4326125176593
406.58422390940257,195.06591140298025
391.4434509086145,184.2827227937817
395.90748312172576,182.0441386730944
397.4305821730332,170.37263089910297
390.9552338133971,170.45117584725875
399.0934091819524,161.1518435174662
43.44985194068722,-41.23509382392953
30.72498670743437,-40.12223100105545
30.672155596653024,-62.10618251231288
35.20015142720188,-63.82123625296507
46.78781571783288,-58.92294136859295
51.42138606995986,-65.84937083990208
403.0921110803896,-90.7946659347384
370.0037077125397,-81.01192151622209
376.5855281316517,-91.69292588901448
335.5396891648052,-70.83596381263897
339.7388143332337,-80.43918144947503
332.4508396003712,-81.26511171539775
321.0469769310494,-64.45731921697751
315.102342051727,-62.83020066550586
298.2154671809034,-74.85708431975957
303.61838307753914,-84.04705556184835
308.024326867844,-81.14709057176064
293.48099258395723,-83.62572515489256
294.4865433050857,-93.39799483595692
323.9302795955461,-107.63268048972984
330.41867259045154,-89.58001804369857
335.4777696559859,-98.1668139517315
348.7767991260096,-93.55334216086526
346.93327394189765,-100.05886311790648
361.000289534492,-105.78688530242243
230.5887265036192,-58.59173272289821
142.72162368653545,203.75894873512837
41.19610604959429,61.98252307414458
45.90977751639928,35.34863449780646
136.81770217509907,86.74758379080332
114.39540992787012,76.53916759295083
61.69759590788821,-8.225281463988608
354.265980378168,190.4113281217388
343.4152966182655,201.62439234251
308.21310879433224,220.17896344856504
333.7028736888725,215.51702215599076
331.9490261819858,181.7296807310071
345.4734715088006,184.92946612798295
359.3919894498172,211.9696331816754
380.2430997887369,212.58985889491743
384.489748728714,228.6288495688186
367.1334284449482,246.20791080782095
339.4406969735956,230.98361314031877
368.5571386509686,231.72672807689665
401.4634395299611,243.4094163666326
413.8277044682729,236.63935868095405
419.77364958093455,212.2728192084365
397.4073704948335,269.4326607861085
436.0654999103019,286.0091333971135
456.9402352719811,285.9575871718169
417.3909332134712,264.19768614401863
309.47472902878474,249.8745454606135
344.361264233297,279.86325669804575
354.6247333541411,269.5203920837864
417.9609753090746,288.6869564248729
238.54793855642413,94.95549342421585
162.80456709852075,63.4286892583193
153.54175051471273,61.1453453416139
158.6715477414946,-188.83277234388945
63.0695337688852,49.872844266097154
53.565030347906806,30.035322935781632
40.91416895628072,6.644910222863175
129.08537753817347,-21.142127420482904
122.6363481951382,-50.82348377081718
142.6124385206248,-7.890313015282488
49.92486486087405,0.4951142411149769
46.10151505836429,-10.373552358362062
57.36108913103156,16.159893753915235
56.464444162880525,55.00559138615698
97.41474800622554,26.27122585387368
196.0010494000937,164.3829626050785
221.88136661292745,135.50588771194734
212.4277719593805,138.421856424147
212.9732369057124,124.11126675137795
205.3192769299088,104.1572471913296
252.616959548325,68.19879233050642
257.89977844385163,39.36389894649664
286.4523428257942,19.200482020727197
295.13397375466815,20.109166918526395
313.2278884767539,8.75843210244151
323.10276773377257,30.880923554911284
327.51072277352176,20.52976351307037
341.53367566988555,11.455060849475244
336.22289788747145,7.273180136353175
339.1820643375559,-6.1460636749149336
357.78664485392846,13.630863303936708
361.8696229180575,-19.2233487050026
374.9910888067827,-28.944977306029276
334.5754832344887,-36.26451631058372
318.4675598763011,-36.488565821730006
299.3041624401632,-23.013913410961983
292.32986576626723,-12.58323769362312
295.4608681609598,-4.595591982961613
284.9265232174833,-20.344081905593303
284.1915292142975,-39.955314883770455
248.6278654038494,13.12631201351672
401.9437271705844,-36.78066830771428
73.44306795866368,278.90685407754466
179.88670050550908,178.1055389007271
