ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Chx10,ChAT,Notes
125,289.426,968.808,685.884,y,,,,,,,,,,,,,
126,436.135,1025.86,685.884,y,,,,,,,,,,,,,
127,454.724,714.644,685.884,y,,,,,,,,,,,,,
128,270.557,706.921,676.552,y,,,,,,,,,,,,,
129,266.969,875.385,673.441,y,,,,,,,,,,,,,
130,250.685,903.484,676.552,y,,,,,,,,,,,,,
131,393.766,997.568,676.552,y,,,,,,,,,,,,,
132,433.5,1000.51,676.552,y,,,,,,,,,,,,,
133,238.244,746.936,667.22,y,,,,,,,,,,,,,
134,220.946,776.736,664.11,y,,,,,,,,,,,,,
135,396.099,713.347,664.11,y,,,,,,,,,,,,,
136,257.527,833.331,651.667,y,,,,,,,,,,,,,
137,512.31,737.658,651.667,y,,,,,,,,,,,,,
138,439.471,582.177,651.667,y,,,,,,,,,,,,,
139,597.057,432.233,651.667,y,,,,,,,,,,,,,
140,472.49,1155.57,648.557,y,,,,,,,,,,,,,
141,343.138,815.484,642.336,y,,,,,,,,,,,,,
142,68.6317,853.747,645.446,y,,,,,,,,,,,,,
143,403.936,820.518,629.893,y,,,,,,,,,,,,,
144,367.054,670.079,617.451,y,,,,,,,,,,,,,
145,400.957,511.854,617.451,y,,,,,,,,,,,,,
146,552.074,449.347,614.34,y,,,,,,,,,,,,,
147,599.361,434.204,617.451,y,,,,,,,,,,,,,
148,179.583,911.943,614.34,y,,,,,,,,,,,,,
149,364.511,800.435,617.451,y,,,,,,,,,,,,,
150,346.061,713.814,617.451,y,,,,,,,,,,,,,
151,346.33,780.966,598.787,y,,,,,,,,,,,,,
152,536.971,484.278,598.787,y,,,,,,,,,,,,,
153,547.597,448.656,601.898,y,,,,,,,,,,,,,
154,587.428,438.287,601.898,y,,,,,,,,,,,,,
156,399.433,481.571,580.124,y,,,,,,,,,,,,,
157,404.124,801.403,570.792,y,,,,,,,,,,,,,
158,417.794,808.633,570.792,y,,,,,,,,,,,,,
159,416.594,461.05,521.023,y,,,,,,,,,,,,,
160,352.32,502.753,533.465,y,,,,,,,,,,,,,
161,400.921,483.402,480.585,y,,,,,,,,,,,,,
162,344.48,493.871,480.585,y,,,,,,,,,,,,,
163,68.6485,684.426,483.696,y,,,,,,,,,,,,,
164,436.023,626.929,449.479,y,,,,,,,,,,,,,
165,448.322,566.298,452.59,y,,,,,,,,,,,,,
166,515,757,2791,g,v,g,r,yes,,v,,,no,,no,no,
