ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Notes
0,694.183,681.933,610.016,y,d,g,r,,,,,,,,
1,812.829,454.011,632.863,g,d,g,r,,,,,wf,,,
2,840.83,423.684,655.71,g,d,g,r,,,,,pa,,,
