ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Lhx5,Notes
0,619.718,571.425,736.514,r,d,g,r,yes,no,,,,no,,no,
1,523.972,951.437,715.599,r,d,g,l,yes,no,,,,no,,no,
2,652.293,1205.09,838.102,r,d,g,l,yes,no,,,,no,,no,
3,754.905,1152.98,658.829,r,d,g,l,yes,no,,,,no,,no,
4,617.686,453.817,646.877,r,d,g,r,yes,no,,,,no,,no,
5,520.1,445.684,625.962,g,d,g,r,no,no,,,fa,no,,no,
6,647.053,478.53,622.974,r,d,g,r,yes,no,,,,no,,no,
7,637.115,398.685,622.974,r,d,g,r,yes,no,,,,no,,no,
8,706.058,608.669,614.01,r,d,g,r,yes,no,,,,no,,no,
9,806.221,535.606,608.035,r,d,g,r,yes,no,,,,no,,yes,
10,580.442,399.19,602.059,r,d,g,r,yes,no,,,,no,,no,
11,701.027,493.201,596.083,r,d,g,r,yes,no,,,,no,,no,
12,613.778,545.883,596.083,r,d,g,r,yes,no,,,,no,,yes,
13,585.225,376.896,590.107,r,d,g,r,yes,no,,,,no,,no,
14,831.364,507.218,590.107,r,d,g,r,yes,no,,,,no,,no,
15,811.986,577.521,584.132,r,d,g,r,no,no,,,,yes,,no,
16,837.206,564.826,593.095,r,d,g,r,yes,no,,,,no,,no,
17,835.067,713.225,581.144,r,d,g,r,yes,no,,,,no,,no,
18,776.575,698.139,584.132,r,d,g,r,no,no,,,,yes,,no,
19,666.008,698.327,560.229,g,d,g,r,no,no,d,,,no,,no,
20,844.735,561.308,560.229,r,d,g,r,yes,no,,,,no,,no,
21,737.87,529.724,560.229,r,d,g,r,yes,no,,,,no,,no,
22,651.115,518.707,563.216,r,d,g,r,yes,no,,,,no,,no,
23,654.688,454.414,569.192,r,d,g,r,no,no,,,wf,no,,no,
24,615.699,432.048,575.168,r,d,g,r,yes,no,,,,no,,no,
25,728.182,555.485,575.168,r,d,g,r,yes,no,,,,no,,no,
26,852.502,627.285,566.204,r,d,g,r,no,no,,,,yes,,no,
27,772.291,689.21,569.192,r,d,g,r,on,no,,,,yes,,no,
28,760.832,560.188,542.301,r,d,g,r,yes,no,,,,no,,no,
29,756.795,459.964,536.325,r,d,g,r,yes,no,,,,no,,no,
30,688.127,459.962,533.338,r,d,g,r,yes,no,,,,no,,no,
31,576.773,364.171,548.277,r,d,g,r,yes,no,,,,no,,no,
32,681.556,474.569,518.398,r,d,g,r,yes,no,,,,no,,no,
33,664.858,434.357,506.447,r,d,g,r,yes,no,,,,no,,no,
34,608.663,408.089,470.592,r,d,g,r,yes,no,,,,no,,no,
35,689.015,489.491,452.665,r,d,g,r,yes,no,,,,no,,no,
36,675.558,416.074,452.665,r,d,g,r,yes,no,,,,no,,no,
37,671.984,390.639,389.919,r,d,g,r,yes,no,,,,no,,no,
38,972,922,949,r,v,g,l,no,maybe,,,,no,,no,
