Litter,TM,TM Amount,Animal,Segment,ID,Position X,Position Y,Position Z,Clone,Colour,D/V,G/W,Hemisphere,Damage,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Chx10,ChAT,Lhx5,Notes
S141,E9.5,0.75,S141_a7,s2,9,459.591,-501.08,2416.088547,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,10,454.246,-538.87,2416.088547,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,11,255.409,-611.41,2460.109238,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,12,553.95,-519.83,2464.111119,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,13,231.467,-593.82,2480.117619,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,14,108.679,-634.69,2512.132667,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,15,58.757,-501.81,2520.136429,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,16,114.003,-510.43,2536.143953,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,18,36.063,-529.13,2536.143953,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,17,65.434,-517.1,2540.145834,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,19,-25.08,-550.21,2540.145834,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,20,130.44,-683.77,2540.145834,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,21,34.814,-623.66,2560.155239,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,36,208.054,-445.86,2560.155239,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,35,94.551,-412.439,2560.155239,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,22,177.271,-594.44,2564.15712,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,33,63.586,-442.17,2564.15712,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,34,120.436,-523.26,2564.15712,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,26,76.785,-425.148,2568.159001,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,25,33.183,-381.657,2568.159001,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,23,154.234,-621.6,2568.159001,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,27,157.936,-429.658,2572.160882,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,24,62.446,-549.21,2572.160882,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,29,-22.754,-470.22,2576.162763,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,28,29.412,-504.46,2576.162763,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,30,27.6,-612.75,2576.162763,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,41,499.016,-424.656,2576.162763,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,32,187.128,-514.96,2584.166525,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,31,212.096,-443.66,2584.166525,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,37,221.411,-489.25,2588.168406,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,38,-17.541,-382.755,2588.168406,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,39,-8.804,-455.62,2604.17593,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,40,-7.95,-593.52,2608.177811,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,43,625.995,-86.661,2608.177811,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,42,647.761,-83.333,2612.178668,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,44,713.845,-121.81,2628.186192,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,45,616.122,-519.23,2632.188073,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,46,531.376,-243.321,2652.197478,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,47,542.619,-262.441,2652.197478,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,48,502.196,-602.97,2656.199359,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,49,496.961,-622.84,2660.20124,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,51,-16.999,-561.73,2668.205002,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,50,-11.678,-592.73,2672.206883,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,52,564.807,-466.31,2688.214407,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,53,708.839,-150.055,2692.216288,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,55,694.432,-153.891,2720.229455,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,57,407.583,-671.22,2732.235098,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,56,383.833,-670.59,2736.236979,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,58,627.05,24.017,2760.247241,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,60,518.373,-100.836,2760.247241,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,59,629.73,-5.671,2764.249122,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,61,222.991,-201.013,2772.252884,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,62,-19.211,-607.79,2772.252884,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,63,-2.04,-579.69,2784.258527,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,65,237.21,80.234,2796.26417,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,66,629.127,47.108,2796.26417,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,68,693.863,-12.85,2796.26417,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,70,584.348,-478.84,2796.26417,c4,r,d,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,64,202.88,97.344,2800.266051,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,67,599.446,42.449,2800.266051,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,69,379.367,-145.896,2800.266051,c4,r,d,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,71,-16.901,197.121,2808.269813,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,75,390.235,151.99,2812.271694,c4,r,v,g,r,no,no,no,no,no,pa,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,73,74.365,47.388,2816.273575,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,72,117.909,44.807,2816.273575,c4,r,v,g,r,no,no,no,no,no,no,yes,,,no,tiny cell
S141,E9.5,0.75,S141_a7,s2,74,376.334,195.446,2824.277337,c4,r,v,w,r,no,no,no,no,no,pa,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,78,647.221,42.426,2872.299908,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,79,669.719,-5.711,2872.299908,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,77,338.866,232.703,2876.301789,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,76,317.122,244.989,2880.30367,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,80,672.387,-26.162,2880.30367,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,81,-43.54,153.08,2908.315813,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
S141,E9.5,0.75,S141_a7,s2,82,363.682,160.58,2960.340266,c4,r,v,w,r,no,no,no,no,no,og,no,,,no,no
